    Template Location,Accuray,No of Header,No of Records,Percentage_of_Record,Percentage_of_attribute,Comments
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp.template,80,10,1,100,10,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_host.template,83.3333333333,6,14,7.1428571429,1.1904761905,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_host.template,83.3333333333,6,14,7.1428571429,1.1904761905,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces_description.textfsm,86.0465116279,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces_description.textfsm,86.0465116279,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_vrf.template,90,4,5,20,5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_vrf.template,90,4,5,20,5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform.textfsm,91.6666666667,4,15,6.6666666667,1.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform.textfsm,91.6666666667,4,15,6.6666666667,1.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform.textfsm,92.5,4,10,10,2.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform.textfsm,92.5,4,10,10,2.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_aliases.template,92.5925925926,3,9,11.1111111111,3.7037037037,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_aliases.template,92.5925925926,3,9,11.1111111111,3.7037037037,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_aliases.template,92.5925925926,3,9,11.1111111111,3.7037037037,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_aliases.template,92.5925925926,3,9,11.1111111111,3.7037037037,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_vrf.template,93.75,4,4,25,6.25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_vrf.template,93.75,4,4,25,6.25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_access-list_MPLS_Loopbacks.template,94.8717948718,3,13,7.6923076923,2.5641025641,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_access-list_MPLS_Loopbacks.template,94.8717948718,3,13,7.6923076923,2.5641025641,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_dir.template,100,8,53,1.8867924528,0.2358490566,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_environment.template,100,5,60,1.6666666667,0.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_environment.template,100,5,60,1.6666666667,0.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ipv6_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.textfsm,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.textfsm,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ipv6_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,43,2.3255813953,0.5813953488,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ipv6_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.textfsm,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.textfsm,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ipv6_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_int_brief.template,100,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,9,11.1111111111,2.7777777778,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,9,11.1111111111,2.7777777778,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,9,11.1111111111,2.7777777778,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,9,11.1111111111,2.7777777778,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver_detail.textfsm,100,6,5,20,3.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver_detail.textfsm,100,6,5,20,3.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver_detail.textfsm,100,6,5,20,3.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver_detail.textfsm,100,6,5,20,3.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license_detail.template,100,2,6,16.6666666667,8.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license_detail.template,100,2,6,16.6666666667,8.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_archive.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_processes_cpu.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,2,50,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_version.template,100,8,1,100,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ptp_clock_running_domain_0.template,100,2,1,100,50,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,8,12.5,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_bgp_all_summary.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_archive.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_arp.template,100,5,2,50,10,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_processes_cpu.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_version.template,100,8,1,100,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,4,25,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_bgp_all_summary.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_facility-alarm_status.template,100,5,5,20,4,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,8,12.5,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_physical_interface_config.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,2,50,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_facility-alarm_status.template,100,5,8,12.5,2.5,
