RP/0/RP0/CPU0:EBD-BHA-MPL-LTE-PE-RTR-34-123# sh ip int br
Bundle-Ether2.984              100.81.157.206  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.985              100.81.189.206  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.986              100.81.221.206  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether4.802              10.61.116.235   Up              Down     MAH-GOA-GB
Bundle-Ether4.804              10.61.37.203    Up              Down     MAH-GOA-BICC-SIG
Bundle-Ether4.806              10.61.37.235    Up              Down     MAH-GOA-BICC-PAYLOAD
Bundle-Ether5.655              172.38.58.213   Up              Down     MARUTI-S2
Bundle-Ether5.801              172.38.200.133  Up              Down     INDIAN-OIL-CORPORATION-2-M
Bundle-Ether5.811              172.19.3.37     Up              Down     HINDUSTAN-LEVER-S2
Bundle-Ether1.1007             100.84.166.14   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1008             100.84.198.14   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1009             100.67.38.14    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1031             100.84.167.62   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1032             100.84.199.62   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1033             100.67.39.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1303             100.81.229.142  Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether1.1304             100.82.5.142    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether1.1305             100.82.37.142   Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether1.1312             100.81.140.206  Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether1.1313             100.81.172.206  Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether1.1314             100.81.204.206  Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether1.1608             10.97.33.78     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1609             10.97.41.78     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1610             10.97.49.78     Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1773             10.88.75.62     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1774             10.88.91.62     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1775             10.88.107.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1779             10.88.79.94     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1780             10.88.95.94     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1781             10.88.111.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1955             100.81.235.94   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1956             100.82.11.94    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1957             100.82.43.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2685             10.88.70.94     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2686             10.88.86.94     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2687             10.88.102.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2691             10.88.71.46     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2692             10.88.87.46     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2693             10.88.103.46    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2712             10.88.72.62     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2713             10.88.88.62     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2714             10.88.104.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2742             10.88.75.254    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2743             10.88.91.254    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2744             10.88.107.254   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2775             10.88.77.78     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2776             10.88.93.78     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2777             10.88.109.78    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2814             100.81.224.62   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2815             100.82.0.62     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2816             100.82.32.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2871             100.81.228.94   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2872             100.82.4.94     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2873             100.82.36.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2910             100.81.230.254  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2911             100.82.6.254    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2912             100.82.38.254   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.2927             10.88.115.238   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.2928             10.88.119.238   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.2929             10.88.123.238   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3387             10.39.128.126   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3388             10.39.160.126   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3389             10.39.144.126   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3477             10.88.66.110    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3478             10.88.82.110    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3479             10.88.98.110    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3480             10.88.66.126    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3481             10.88.82.126    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3482             10.88.98.126    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3518             10.22.223.54    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3519             10.22.207.54    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3520             10.196.255.54   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3521             10.22.223.62    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3522             10.22.207.62    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3523             10.196.255.62   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3524             10.22.223.70    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3525             10.22.207.70    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3526             10.196.255.70   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3536             10.123.212.30   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3537             10.123.196.30   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3538             10.229.68.30    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3542             10.123.212.62   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3543             10.123.196.62   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3544             10.229.68.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3548             10.123.212.94   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3549             10.123.196.94   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3550             10.229.68.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3615             10.117.110.14   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3616             10.117.126.14   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3617             10.117.14.14    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3645             10.117.110.174  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3646             10.117.126.174  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3647             10.117.14.174   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3666             10.120.196.30   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3667             10.120.204.30   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3668             10.120.212.30   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3672             10.120.195.254  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3673             10.120.203.254  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3674             10.120.211.254  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3717             10.120.198.222  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3718             10.120.206.222  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3719             10.120.214.222  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3750             10.68.134.94    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3751             10.68.150.94    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3752             10.68.166.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3777             10.68.138.126   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3778             10.68.154.126   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3779             10.68.170.126   Up              Down     NASIK-LTE-OnM-Management-M
